День	Чтение	Фотошоп	Английский	Японский	Программирование	Видеомейкерство	Рисование	Каллиграфия	Пост в Телеграм-канал	Статья на CR	Просмотр онлайн-лекции про видеомейкерство	Просмотр онлайн-лекции по QA	Обучение слепой печати	Настроение	
0	0	60	45	25	60	50	25	0	0	0	0	0	0		
2	0	30	45	75	60	20	60	0	0	0	0	0	0		
3	0	60	40	30	180	0	80	0	0	0	0	0	0		
4	0	60	20	30	60	0	30	0	0	0	0	0	0		0	
5	0	60	20	30	90	0	60	0	0	0	0	0	0		
6	0	10	30	30	120	0	60	0	0	0	0	0	0		
7	0	0	0	30	60	0	30	0	0	0	0	0	0		
8	0	0	30	30	90	0	0	0	0	0	0	0	0		
9	0	30	30	30	40	0	30	0	0	0	0	0	0		
10	0	20	30	30	120	0	30	0	0	0	0	0	0		
0	30	30	30	30	90	0	30	0	0	0	0	0	0		
0	30	30	30	30	60	0	45	0	0	0	0	0	0		
0	20	30	30	30	100	0	40	0	0	0	0	0	0		
0	20	90	30	30	120	0	40	0	0	0	0	0	0		
0	0	0	0	0	0	0	0	0	0	0	0	0	0		
0	0	0	0	0	0	0	0	0	0	0	0	0	0		
0	0	0	0	0	0	0	0	0	0	0	0	0	0		
0	30	30	30	30	120	0	30	25	0	0	0	0	0	Воодушевлённое.	
0	20	30	30	30	120	0	40	0	0	0	0	0	0	неопределённое.	
1	20	40	30	30	120	0	40	0	0	0	0	0	0	подавленное.	
2	20	45	30	30	35	0	35	0	0	0	0	0	0	воодушевлённое.	
3	20	30	35	30	60	0	30	0	60	0	0	0	0	нейтральное.	
4	30	30	30	30	90	0	50	0	10	0	0	0	0	болезненное.	
5	20	30	30	30	40	0	30	0	180	0	0	0	0	переменчивое.	
6	120	30	30	35	55	0	30	40	10	0	0	0	0	депрессивное	
7	100	35	30	30	30	60	30	0	120	0	0	0	0	понурое	
8	100	30	30	30	60	60	30	0	10	0	0	0	0	нейтральное	
9	40	0	30	30	40	0	30	0	30	0	0	0	0	депрессивное	
10	45	30	30	30	80	90	30	0	0	0	0	0	0	грустное	
11	45	30	30	30	180	90	40	0	15	0	0	0	0	иссиня-весёлое	
12	20	30	30	30	50	60	30	0	120	0	0	0	0	понурое	
13	35	80	30	30	35	40	30	0	15	0	0	0	0	нейтральное	
14	40	60	30	30	40	100	30	0	60	0	0	0	0	раздражённое	
15	45	120	30	35	40	120	35	15	30	0	0	0	0	спокойное	
16	20	30	30	30	30	90	30	0	15	0	0	0	0	спокойное	
17	30	30	30	30	30	0	30	0	120	0	0	0	0	тревожное	
18	20	30	30	30	60	60	30	0	15	90	60	0	0	подорванное	
